razon_social,n_concesiones,hectareas_totales,departamentos,provincias,estados_concesion,sustancias,dominio_corporativo,nombre_decisor,cargo,correo_corporativo,telefono_empresarial,fuente_dato,servicio_potencial,ultima_interaccion
SOCIEDAD MINERA DE RESPONSABILIDAD LIMITADA ARVA,1,100.0,CAJAMARCA,CAJAMARCA,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. BENAVIDES Nº1 DE CAJAMARCA Y OTROS,1,30.7,CAJAMARCA,HUALGAYOC,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. VICTORIA 2002,1,100.0,CAJAMARCA,HUALGAYOC,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
COMPAÑIA MINERA EL FERROL S.A.,1,1.7,CAJAMARCA,CAJAMARCA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
MINORTEX TRADER S.A.C.,1,600.0,CAJAMARCA,CONTUMAZA,TRAMITE,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
CALCAREOS 2004 S.A.C.,1,46.4,CAJAMARCA,CONTUMAZA,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
STRONG STEEL PERU S.A.C.,1,100.0,CAJAMARCA,SAN MIGUEL /  SANTA CRUZ,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. LA BENDICION DE DIOS,1,200.0,CAJAMARCA,CONTUMAZA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
BANDA SERVICIOS GENERALES E.I.R.L.,1,200.0,CAJAMARCA,CAJAMARCA /  CONTUMAZA /  SAN PABLO,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
COBRIZA METALS PERU S.A.,1,900.0,CAJAMARCA,JAEN,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
CORPORACION LAS ESMERALDAS E.I.R.L.,1,400.0,CAJAMARCA,SAN IGNACIO,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. LOS REYES DE HUASMIN,1,300.0,CAJAMARCA,CELENDIN,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. CONGADEURQUIA I,1,100.0,CAJAMARCA,CELENDIN,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. CERRO VANGUARDIA III,1,300.0,CAJAMARCA,CONTUMAZA /  SAN MIGUEL,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
TRANSPORTES YOSIMAR E.I.R.L.,1,100.0,CAJAMARCA,CAJAMARCA,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
EMPRESA CERRO ALUPUY S.R.L.,1,200.0,CAJAMARCA,CELENDIN,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. CARLO I,1,200.0,CAJAMARCA,JAEN,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. CONCECION MINERA POWERMIN,1,100.0,CAJAMARCA,CAJAMARCA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. EL LIRIO DE LOS VALLES,1,200.0,CAJAMARCA,HUALGAYOC,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
SAUG MINING S.A.C.,1,100.0,CAJAMARCA,CAJABAMBA,TRAMITE,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. EMITAM GOLD,1,250.0,CAJAMARCA,CAJAMARCA,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
P&G CONTRATISTAS SOLUCIONES E.I.R.L.,1,200.0,CAJAMARCA,CONTUMAZA,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. CALERA CERRO JESUS HUALGAYOC,1,100.0,CAJAMARCA,CHOTA /  HUALGAYOC,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. EL LIRIO DE LOS VALLES I 2016,1,200.0,CAJAMARCA,HUALGAYOC,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. UNA AVENTURA MAS,1,100.0,CAJAMARCA,HUALGAYOC,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. SUCRE COPPER,1,200.0,CAJAMARCA,CELENDIN,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. INVERSIONES M M,1,200.0,CAJAMARCA,CELENDIN,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
EMPRESA DE SERVICIOS GENERALES AQUINO ASENCIO S.R.L.,1,100.0,CAJAMARCA,CAJAMARCA,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. LASLIMAS,1,400.0,CAJAMARCA,CHOTA,EXTINGUIDO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. COMUNEROS SAN LORENZO CUTERVO,1,100.0,CAJAMARCA,CUTERVO,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. ARTEMIS I,1,200.0,CAJAMARCA,CAJAMARCA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. SOCCHA,1,400.0,CAJAMARCA,CONTUMAZA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
COMERCIALIZADORA DE MINERALES NO METALICOS Y SERVICIOS GENER,1,100.0,CAJAMARCA,CAJAMARCA,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
INVERSIONES TROY S.A.C.,1,600.0,CAJAMARCA,JAEN,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. SILVANA Y DULCE,1,500.0,CAJAMARCA,CONTUMAZA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
L.C.F. DISTRIBUCIONES Y SERVICIOS S.A.C.,1,200.0,CAJAMARCA,CONTUMAZA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
CONSULTORES GROUP PERU JH S.A.C.,1,1000.0,CAJAMARCA,CHOTA /  SANTA CRUZ,TRAMITE,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. EL NOSHO,1,300.0,CAJAMARCA,SAN MARCOS,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
EMPRESA DE TRANSPORTES Y SERVICIOS GENERALES JUAN TELLO SSS,1,200.0,CAJAMARCA,CELENDIN /  CHOTA /  HUALGAYOC,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
MINERAL CAPITAL S.A.C.,1,100.0,CAJAMARCA,CELENDIN,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
REPRESENTACIONES ORO BLANCO S.A.C.,1,100.0,CAJAMARCA,HUALGAYOC,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. EL ARENAL 2020,1,200.0,CAJAMARCA,SAN MARCOS,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. SILVANA Y DULCE III,1,300.0,CAJAMARCA,CONTUMAZA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
CALERA BAMBAMARCA S.A.C,1,200.0,CAJAMARCA,HUALGAYOC,TRAMITE,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. CARBONERA LAS TRES MARIAS,1,100.0,CAJAMARCA,CELENDIN,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. EL HUABO,1,100.0,CAJAMARCA,CAJABAMBA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. PRIMO CINCO,1,1000.0,CAJAMARCA,SAN MIGUEL,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
MERCIET CONTRATISTAS GENERALES EIRL,1,100.0,CAJAMARCA,SAN MARCOS,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
MINERA BRILLANTE NIEVE E.I.R.L.,1,300.0,CAJAMARCA,CAJABAMBA,TRAMITE,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L.EL GENTIL,1,200.0,CAJAMARCA,CELENDIN,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. CANTERA RIO CHOTANO LAQUE KM 0230+,1,100.0,CAJAMARCA,CHOTA /  CUTERVO,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. JJGG,1,100.0,CAJAMARCA,CONTUMAZA,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
CERAMICOS BRACKAMOROS E.I.R.L,1,200.0,CAJAMARCA,JAEN,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
BALTA CORPORACION S.A.C,1,200.0,CAJAMARCA,CONTUMAZA /  SAN MIGUEL,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. EL FUTURO II,1,600.0,CAJAMARCA,SAN PABLO,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. LAS LEONAS,1,100.0,CAJAMARCA,CONTUMAZA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. CANTERA DE AGREGADOS YERBA SANTA,1,100.0,CAJAMARCA,CAJAMARCA,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
AGROINDUSTRIA MINERA & CONSTRUCCIÓN S.A.C. - AIM & C S.A.C.,1,200.0,CAJAMARCA,SAN MARCOS,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. EL FUTURO II Y OTROS,1,500.0,CAJAMARCA,SAN PABLO,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
EMPRESA MINERA ONASS S.A.C.,1,600.0,CAJAMARCA,CUTERVO,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
COMPAÑIA MINERA POSHAN S.A.C.,1,400.0,CAJAMARCA,CONTUMAZA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
INVERSIONES Y SERVICIOS GENERALES MINZUVI S.R.L.,1,100.0,CAJAMARCA,HUALGAYOC,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. LUIS ABEARDO RAQUITO,1,1000.0,CAJAMARCA,SAN MIGUEL /  SANTA CRUZ,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. COPELANCHE III,1,200.0,CAJAMARCA,CHOTA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. CARVIC-I,1,400.0,CAJAMARCA,CONTUMAZA,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. COLINAS DE HUAYLLABAMBA,1,100.0,CAJAMARCA,CAJABAMBA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
MULTISERVICIOS PIRAMIDES DE ORO S.R.L.,1,200.0,CAJAMARCA,CHOTA /  HUALGAYOC,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. LA INDIA,1,100.0,CAJAMARCA,SAN MIGUEL,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. MINA SANQUIN,1,400.0,CAJAMARCA,CONTUMAZA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. EL SUEÑO 2022,1,200.0,CAJAMARCA,CONTUMAZA,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
LADRILLOS PRISMA S.R.L.,1,200.0,CAJAMARCA,CAJAMARCA,TRAMITE,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. MERCURY PERU,1,200.0,CAJAMARCA,CHOTA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
EL TAYO INGENIEROS S.R.L.,1,1000.0,CAJAMARCA,CAJAMARCA /  CONTUMAZA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
SERVICIOS GENERALES PROCALHUA S.A.C.,1,25.9,CAJAMARCA,HUALGAYOC,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
APUS GOLD SOCIEDAD COMERCIAL DE RESPONSABILIDAD LIMITADA,1,50.0,CAJAMARCA,HUALGAYOC,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
CIGMAC PERU E.I.R.L.,1,100.0,CAJAMARCA,CAJAMARCA,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. LA PERLA DORADA,1,100.0,CAJAMARCA,SAN IGNACIO,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
SOCIEDAD MINERA CAMPANA DE ORO S.A.C.,1,100.0,CAJAMARCA,CAJABAMBA,TRAMITE,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
WHITE MOUNTAIN LIMESTONE S.R.L.,1,200.0,CAJAMARCA,HUALGAYOC,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. GALENO LUMINOSO,1,200.0,CAJAMARCA,CELENDIN,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. URIEL BC,1,200.0,CAJAMARCA,CHOTA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. PERUVIAN CALCAREOS DEL NORTE,1,400.0,CAJAMARCA,CHOTA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. SAN MARTIN 2023,1,800.0,CAJAMARCA,CAJAMARCA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. PEÑA DORADA 1302,1,200.0,CAJAMARCA,CELENDIN,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
SERVICIOS DE MAQUINARIA PESADA Y TRANSPORTE MAQSERV E.I.R.L.,1,200.0,CAJAMARCA,CAJAMARCA,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. PERUVIAN CALCAREOS III,1,200.0,CAJAMARCA,HUALGAYOC,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
GRUPO KALIMBO E.I.R.L.,1,200.0,CAJAMARCA,CONTUMAZA /  SAN PABLO,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
INVERSIONES GOLD PERU SAC,1,100.0,CAJAMARCA,CAJABAMBA,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. BALVINA DOMINGO,1,400.0,CAJAMARCA,JAEN /  SAN IGNACIO,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. SAN BENITO I 2023,1,200.0,CAJAMARCA,CONTUMAZA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. MINA LA ENCAÑADA,1,200.0,CAJAMARCA,CAJAMARCA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. DIPNA,1,400.0,CAJAMARCA,CAJAMARCA,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. GREEN GOLDEN,1,200.0,CAJAMARCA,CELENDIN,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
CHOTA CONSTRUCTORA ROCA AZUL S.R.L.,1,100.0,CAJAMARCA,CHOTA,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. EL HUASMINORCO,1,200.0,CAJAMARCA,CELENDIN,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
CIA MINERA CLARA LUZ S.A.C.,1,800.0,CAJAMARCA,JAEN,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
CINCO CUMBRES MINING S.A.C.,1,200.0,CAJAMARCA,SAN MARCOS,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
MIN NORTH S.R.L.,1,200.0,CAJAMARCA,CONTUMAZA,TRAMITE,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
OYE CORPORACION SERVICIOS GENERALES E.I.R.L,1,100.0,CAJAMARCA,CAJAMARCA,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
RULL PERU MINING S.A.C.,1,100.0,CAJAMARCA,SAN PABLO,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. CRITAL 1,1,400.0,CAJAMARCA,SANTA CRUZ,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
CORPORACIÓN MINERA LOS ZARCOS ULLOA E.I.R.L.,1,200.0,CAJAMARCA,CAJABAMBA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
CODIEDRA S.A.C.,1,100.0,CAJAMARCA,CHOTA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
CONTRATISTAS GENERALES LA MAZMA S.R.L.,1,200.0,CAJAMARCA,HUALGAYOC,TRAMITE,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
CONSORCIO EL EDEN S.R.L.,1,200.0,CAJAMARCA,CELENDIN,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. VALLE DORADO DEL NORTE,1,200.0,CAJAMARCA,CAJABAMBA /  SAN MARCOS,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
CALCIOPURE S.A.C.,1,100.0,CAJAMARCA,HUALGAYOC,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. GRATITUD1000,1,300.0,CAJAMARCA,JAEN /  SAN IGNACIO,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
BENDICION POR MISERICORDIA S.R.L.,1,100.0,CAJAMARCA,CHOTA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. MINING PACHA PERU,1,1000.0,CAJAMARCA,CONTUMAZA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. GOLD 2024,1,100.0,CAJAMARCA,CHOTA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
EMPRESA NO METALICA JOSE GALVEZ S.C.R.L,1,100.0,CAJAMARCA,HUALGAYOC,TRAMITE,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. BENJAVAL MINING PERU,1,600.0,CAJAMARCA,CONTUMAZA,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
ASOCIACION MARBER S.A.C.,1,100.0,CAJAMARCA,CHOTA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
MAQANAKUY E.I.R.L.,1,100.0,CAJAMARCA,CAJAMARCA,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
INVERSIONES ORO DEL NORTE S.A.C,1,100.0,CAJAMARCA,SAN MIGUEL,TRAMITE,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. DIANA 2024,1,100.0,CAJAMARCA,CAJAMARCA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. EL MANANTIAL 2025,1,100.0,CAJAMARCA,JAEN,TRAMITE,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
CONSULTORES Y CONSTRUCTORES ABANTOS S.A.C.,1,100.0,CAJAMARCA,CAJAMARCA,EXTINGUIDO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
INVERSIONES GRUPO ZAMORA S.A.C.,1,200.0,CAJAMARCA,CAJAMARCA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
CONSORCIO MINERO JOCOS SR. SAC,1,200.0,CAJAMARCA,CAJABAMBA,TRAMITE,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
MULTISERVICIOS JACEL S.R.L.,1,100.0,CAJAMARCA,HUALGAYOC,EXTINGUIDO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
MULTISERVICIOS COMPANY Y & D E.I.R.L.,1,100.0,CAJAMARCA,CELENDIN,TRAMITE,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
FERRETERIA MARITZA E.I.R.L.,1,500.0,CAJAMARCA,CUTERVO,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
INDUSTRIAS TIFER E.I.R.L.,1,1000.0,CAJAMARCA,CHOTA /  CUTERVO,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. EVOLET ABIGAIL,1,300.0,CAJAMARCA,SAN PABLO,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
COMPAÑIA MV E.I.R.L.,1,100.0,CAJAMARCA,CELENDIN,TRAMITE,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
INFONET E.I.R.L.,1,400.0,CAJAMARCA,SAN IGNACIO,TRAMITE,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
EMPRESA DE TRANSPORTES Y SERVICIOS SANTA ISABEL DE CUSHURO S,1,200.0,CAJAMARCA,CHOTA,EXTINGUIDO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. CEJJH,1,300.0,CAJAMARCA,CELENDIN /  CHOTA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. LOS CHICHIRANOS,1,100.0,CAJAMARCA,CAJABAMBA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
CONSULTORA & CONSTRUCTORA GOICOCHEA S.R.L.,1,100.0,CAJAMARCA,CHOTA /  CUTERVO,TRAMITE,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
TRANSPORTES Y SERVICIOS CHUGNAS S.R.L.,1,100.0,CAJAMARCA,CAJAMARCA,TRAMITE,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
INGENIERIA & SERVICIOS DELGADO E.I.R.L,1,200.0,CAJAMARCA,SAN IGNACIO,TRAMITE,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
SERVICIOS GENERALES JH 2024 E.I.R.L.,1,200.0,CAJAMARCA,SAN PABLO,TRAMITE,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
LOGISNORT S.A.C.,1,100.0,CAJAMARCA,CONTUMAZA,TRAMITE,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
ALTAIR SERVICIOS GENERALES E.I.R.L. Y OTROS,1,900.0,CAJAMARCA,CELENDIN,TRAMITE,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. MILAGROSO PADRE ETERNO 3,1,500.0,CAJAMARCA,CELENDIN,TRAMITE,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
ACTIVIDAD MINERA DORADA S.A.C. Y OTROS,1,500.0,CAJAMARCA,SAN IGNACIO,TRAMITE,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
CORPORACIÓN WALLIO E.I.R.L.,1,100.0,CAJAMARCA,CONTUMAZA,TRAMITE,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. MINA EL FLOREAO,1,800.0,CAJAMARCA,CELENDIN,TRAMITE,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
AHIEZER COMPANY S.A.C.,1,400.0,CAJAMARCA,CAJABAMBA,TRAMITE,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
CONSTRUCTORA & MINERIA JOMESA E.I.R.L. Y OTROS,1,100.0,CAJAMARCA,HUALGAYOC,TRAMITE,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
R & C ASESORES EMPRESARIALES S.A.C.,1,100.0,CAJAMARCA,CAJAMARCA,TRAMITE,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
CONGA DE ORO MINERIA Y CONSTRUCCION E.I.R.L.,1,300.0,CAJAMARCA,CAJAMARCA,TRAMITE,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
INVERSIONES NUSAL S.A.C.,1,100.0,CAJAMARCA,CAJABAMBA,TRAMITE,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
PROCESADORA BLASTER S.R.L,1,100.0,CAJAMARCA,SAN IGNACIO,TRAMITE,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
MINERA SAN FELIPE COPPER S.A.C.,1,400.0,CAJAMARCA /  LA LIBERTAD,CAJAMARCA /  GRAN CHIMU,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
RCV INGENIEROS S.A.C,1,200.0,CAJAMARCA /  LA LIBERTAD,CHEPEN /  CONTUMAZA,TRAMITE,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
VIJAL GROUP S.A.C,1,800.0,CAJAMARCA /  LA LIBERTAD,CAJAMARCA /  GRAN CHIMU,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. LA ESCONDIDA DOS 2023,1,100.0,CAJAMARCA /  LA LIBERTAD,CAJABAMBA /  SANCHEZ CARRION,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. CUPISNIQUE 2022,1,400.0,CAJAMARCA /  LA LIBERTAD,ASCOPE /  CONTUMAZA /  PACASMAYO,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
LM CONTRATISTAS GENERALES E.I.R.L.,1,200.0,CAJAMARCA /  LA LIBERTAD,CAJABAMBA /  GRAN CHIMU,TRAMITE,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. VILCAS 2023,1,300.0,CAJAMARCA /  LA LIBERTAD,CAJABAMBA /  OTUZCO /  SANCHEZ CARRION,TRAMITE,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
FRANKHER MINING COMPANY S.A.C.,1,700.0,CAJAMARCA /  LAMBAYEQUE,CUTERVO /  FERREÑAFE,TRAMITE,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
RINGA LIMITED S.A.C.,1,100.0,CAJAMARCA /  LAMBAYEQUE,CHICLAYO /  SAN MIGUEL,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
CAÑARIACO COPPER PERU S.A.C.,1,500.0,CAJAMARCA /  LAMBAYEQUE,CUTERVO /  FERREÑAFE,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
MINERA SIERRA MORENA S.A.C.,1,500.0,CAJAMARCA /  LAMBAYEQUE,CHICLAYO /  SAN MIGUEL,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. ROCALIME I,1,400.0,CAJAMARCA /  LAMBAYEQUE,CHICLAYO /  SAN MIGUEL,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
COORPORACION SATOKARI E.I.R.L.,1,100.0,PIURA,TALARA,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
MINERA LAS LOMAS S.A.C,1,1000.0,PIURA,AYABACA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. EL ORO DE OLMOS,1,1000.0,PIURA,HUANCABAMBA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
HORIZONTE AGRO-MINERO S.A.C,1,400.0,PIURA,PIURA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
